date,ward,electorate,candidate,party,votes,percent
2015-05-07,Clifton,9263,Martin Joseph Wright,Conservative,1856,28.01
2015-05-07,Ashley,12290,Gus Hoyt,Green,4470,51.48
2015-05-07,Ashley,12290,Mary Southcott,Labour,2480,28.56
2015-05-07,Ashley,12290,Nura Aabe,Liberal Democrat,1085,12.5
2015-05-07,Ashley,12290,Owen James Evans,Conservative,514,5.92
2015-05-07,Ashley,12290,Ian Chard,Trade Unionists and Socialist Coalition,134,1.54
2015-05-07,Bedminster,10664,Celia Christine Phipps,Labour,2425,33.96
2015-05-07,Bedminster,10664,Alan Wilson Baker,Green,2161,30.27
2015-05-07,Bedminster,10664,Darien Luke Jay,Conservative,1715,24.02
2015-05-07,Bedminster,10664,Peter Henry Main,Liberal Democrat,606,8.49
2015-05-07,Bedminster,10664,Robin Clapp,Trade Unionists and Socialist Coalition,233,3.26
2015-05-07,Bishopsworth,8991,Richard Stephen Eddy,Conservative,2412,47.57
2015-05-07,Bishopsworth,8991,Paul Goggin,Labour,1777,35.05
2015-05-07,Bishopsworth,8991,Pip Sheard,Green,497,9.8
2015-05-07,Bishopsworth,8991,Gareth John David Owen,Liberal Democrat,238,4.69
2015-05-07,Bishopsworth,8991,David Rawlings,Trade Unionists and Socialist Coalition,146,2.88
2015-05-07,Brislington East,9318,Mike Langley,Labour,1806,31.29
2015-05-07,Brislington East,9318,Perry Hicks,Conservative,1788,30.98
2015-05-07,Brislington East,9318,Simon Rodgers,UK Independence,1071,18.56
2015-05-07,Brislington East,9318,Rachel Susannah Reed,Green,737,12.77
2015-05-07,Brislington East,9318,Pauline Mary Allen,Liberal Democrat,316,5.47
2015-05-07,Brislington East,9318,Andy Pryor,Trade Unionists and Socialist Coalition,54,0.94
2015-05-07,Brislington West,8971,Eileen Means,Labour,1582,26.39
2015-05-07,Brislington West,8971,Jos Clark,Liberal Democrat,1366,22.79
2015-05-07,Brislington West,8971,James Charles Hinchcliffe,Conservative,1241,20.7
2015-05-07,Brislington West,8971,Christopher James Robinson,UK Independence,920,15.35
2015-05-07,Brislington West,8971,Natasha Kiran Clarke,Green,836,13.94
2015-05-07,Brislington West,8971,Louise Duncan,Trade Unionists and Socialist Coalition,50,0.83
2015-05-07,Cabot,12754,Ani Stafford-Townsend,Green,2916,38.47
2015-05-07,Cabot,12754,Kye Dudd,Labour,1692,22.32
2015-05-07,Cabot,12754,Alexander William Woodman,Liberal Democrat,1527,20.15
2015-05-07,Cabot,12754,Will Luangrath,Conservative,1352,17.84
2015-05-07,Cabot,12754,Chris Farrell,Trade Unionists and Socialist Coalition,93,1.23
2015-05-07,Clifton,9263,Jerome Ungoed Thomas,Green,2170,32.75
2015-05-07,Clifton,9263,Tom Stubbs,Liberal Democrat,1281,19.33
2015-05-07,Clifton,9263,John Halpin,Labour,963,14.53
